                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1723,                  3.244,                  1.479,                0.00716,                      1,                 0.2015,                0.13342,                0.99179,                 3.8149,                 1.5492,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 1.2563,                 3.2105,                 1.5098,                0.01062,                      1,                0.33062,                 0.2503,                0.85477,                 3.7145,                 1.4089,             6.1881e-05,             6.1881e-05,             6.1881e-05
                      3,                 1.0767,                 3.0834,                 1.3883,                0.02371,                      1,                0.51708,                0.46737,                0.63496,                 3.6435,                 1.1564,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                0.93146,                 2.7919,                 1.2994,                0.04688,                      1,                 0.6825,                0.53374,                0.64468,                 3.5552,                 1.0767,             0.00013342,             0.00013342,             0.00013342
                      5,                 0.9575,                  2.457,                 1.2907,                0.04202,                      1,                0.72125,                0.61749,                0.67295,                 3.3741,                 1.0688,             0.00016807,             0.00016807,             0.00016807
                      6,                 0.8928,                 2.1548,                 1.2544,                0.03482,                      1,                0.74625,                 0.5854,                0.72894,                 3.2308,                 1.2054,             0.00020198,             0.00020198,             0.00020198
                      7,                0.85458,                 1.8516,                 1.2399,                0.03168,                      1,                0.82917,                0.62535,                0.81619,                 3.0705,                   1.33,             0.00023515,             0.00023515,             0.00023515
                      8,                0.90266,                 1.7705,                 1.2627,                0.02956,                      1,                0.82917,                 0.6595,                0.75292,                 3.0507,                 1.2579,             0.00026758,             0.00026758,             0.00026758
                      9,                0.90594,                 1.6926,                 1.2566,                0.02245,                      1,                0.91167,                 0.7322,                0.70506,                 3.0795,                 1.0977,             0.00029926,             0.00029926,             0.00029926
                     10,                0.86701,                 1.5467,                 1.2236,                0.98079,                    0.5,                0.91167,                0.71792,                0.76424,                 2.9343,                 1.0777,              0.0003302,              0.0003302,              0.0003302
                     11,                0.89525,                 1.5529,                  1.291,                0.88356,                 0.7846,                  0.995,                0.77103,                0.83107,                 2.5994,                 1.1217,              0.0003604,              0.0003604,              0.0003604
                     12,                0.85439,                 1.4342,                 1.2262,                0.71999,                   0.75,                0.88667,                0.67043,                0.82946,                 2.4879,                 1.2086,             0.00038986,             0.00038986,             0.00038986
                     13,                0.88027,                 1.3583,                 1.1822,                0.83502,                   0.75,                0.81217,                0.57941,                0.91441,                 2.1784,                 1.3376,             0.00041857,             0.00041857,             0.00041857
                     14,                0.90792,                 1.4797,                 1.3098,                0.66654,                      1,                0.81217,                0.62457,                0.83833,                 1.9777,                 1.2199,             0.00044654,             0.00044654,             0.00044654
                     15,                 0.8402,                 1.3513,                 1.2223,                0.89234,                0.98257,                  0.995,                0.78778,                0.68749,                 1.5793,                 1.1259,             0.00047377,             0.00047377,             0.00047377
                     16,                0.90429,                 1.3399,                  1.239,                 0.9489,                 0.8453,                   0.97,                0.78225,                0.75351,                 1.9105,                  1.204,             0.00050026,             0.00050026,             0.00050026
                     17,                0.83285,                 1.2773,                 1.1469,                0.65165,                0.97057,                0.81217,                 0.6291,                0.85513,                  2.182,                 1.3458,               0.000526,               0.000526,               0.000526
                     18,                0.77023,                 1.2078,                 1.1613,                0.69797,                      1,                0.81217,                0.61974,                 0.8483,                 1.9405,                 1.3184,               0.000551,               0.000551,               0.000551
                     19,                0.81136,                 1.1276,                 1.1144,                0.66861,                      1,                0.83667,                0.63754,                0.77762,                 2.1904,                 1.3456,             0.00057526,             0.00057526,             0.00057526
                     20,                0.74901,                 1.0459,                 1.1177,                0.61761,                0.99406,                0.86167,                0.69477,                 0.6169,                  2.623,                 1.1745,             0.00059878,             0.00059878,             0.00059878
                     21,                0.74649,                 1.1318,                 1.1189,                0.57155,                      1,                0.86167,                0.68674,                0.64773,                 2.2712,                 1.1758,             0.00062155,             0.00062155,             0.00062155
                     22,                0.76604,                 1.1313,                 1.1224,                0.58538,                      1,                0.81217,                0.64229,                0.66978,                  2.142,                 1.1539,             0.00064358,             0.00064358,             0.00064358
                     23,                0.77294,                 1.0846,                 1.1268,                0.75723,                0.97629,                0.86021,                0.70073,                0.74732,                 2.4057,                 1.2714,             0.00066487,             0.00066487,             0.00066487
                     24,                0.77722,                 1.0941,                 1.0941,                0.67615,                      1,                0.82917,                0.57866,                0.97627,                 2.7655,                 1.6322,             0.00068542,             0.00068542,             0.00068542
                     25,                0.77613,                 1.0331,                 1.1189,                0.72046,                      1,                   0.92,                0.70701,                0.94963,                 2.4218,                 1.6379,             0.00070522,             0.00070522,             0.00070522
                     26,                0.75201,                  1.001,                 1.1333,                0.81192,                      1,                   0.97,                0.72382,                0.77233,                 2.1727,                 1.3886,             0.00072428,             0.00072428,             0.00072428
                     27,                0.85184,                 1.1374,                 1.1777,                 0.8041,                      1,                  0.945,                0.75289,                0.79702,                 2.0051,                 1.4707,              0.0007426,              0.0007426,              0.0007426
                     28,                0.89375,                 1.0736,                 1.1628,                0.84534,                      1,                  0.945,                0.77784,                0.79201,                 1.9716,                 1.4686,             0.00076018,             0.00076018,             0.00076018
                     29,                0.71709,                0.94279,                 1.0809,                0.84534,                      1,                  0.945,                0.77784,                0.79201,                 1.9716,                 1.4686,             0.00077701,             0.00077701,             0.00077701
                     30,                 0.8691,                 1.1312,                 1.1884,                0.87697,                      1,                   0.92,                0.69069,                0.96114,                 1.9573,                 1.5854,              0.0007931,              0.0007931,              0.0007931
                     31,                0.80266,                 1.0231,                 1.1197,                0.71371,                      1,                   0.92,                0.71118,                0.98315,                 1.8137,                 1.5834,             0.00080845,             0.00080845,             0.00080845
                     32,                0.86105,                 1.0701,                 1.1688,                0.69567,                      1,                0.83667,                0.65044,                0.80718,                 1.7985,                 1.3509,             0.00082306,             0.00082306,             0.00082306
                     33,                0.76091,                 1.0102,                 1.1084,                0.69567,                      1,                0.83667,                0.65044,                0.80718,                 1.7985,                 1.3509,             0.00083692,             0.00083692,             0.00083692
                     34,                0.82095,                 1.0245,                 1.0937,                0.68337,                      1,                0.75417,                0.63214,                0.68012,                 1.7968,                 1.2169,             0.00084162,             0.00084162,             0.00084162
                     35,                0.78691,                0.93843,                 1.1084,                0.68758,                      1,                0.77917,                0.63726,                0.69801,                 1.7389,                 1.1814,             0.00084162,             0.00084162,             0.00084162
                     36,                0.80384,                0.96376,                  1.089,                0.71968,                0.97743,                0.82917,                 0.6593,                0.81959,                 2.0263,                 1.1901,             0.00082925,             0.00082925,             0.00082925
                     37,                0.74917,                0.98767,                 1.0916,                0.71968,                0.97743,                0.82917,                 0.6593,                0.81959,                 2.0263,                 1.1901,             0.00081688,             0.00081688,             0.00081688
                     38,                0.80165,                 1.0663,                  1.113,                 0.7971,                  0.875,                0.80417,                0.63103,                0.83402,                 2.1459,                 1.1249,              0.0008045,              0.0008045,              0.0008045
                     39,                0.75556,                0.90981,                 1.0503,                0.77241,                  0.875,                0.80417,                0.66104,                0.76074,                 2.0592,                 1.0789,             0.00079213,             0.00079213,             0.00079213
                     40,                 0.7657,                  1.039,                  1.139,                0.67584,                0.97798,                0.77917,                0.65774,                0.64322,                 2.0096,                 1.0658,             0.00077975,             0.00077975,             0.00077975
                     41,                0.70084,                0.97736,                 1.1068,                0.67584,                0.97798,                0.77917,                0.65774,                0.64322,                 2.0096,                 1.0658,             0.00076738,             0.00076738,             0.00076738
                     42,                 0.7466,                 1.0454,                  1.092,                0.64857,                0.93364,                0.86167,                 0.6593,                0.69487,                 2.0359,                 1.1828,               0.000755,               0.000755,               0.000755
                     43,                 0.7512,                 0.9811,                 1.1051,                0.68174,                  0.875,                0.82685,                0.65256,                0.75153,                 2.0789,                  1.237,             0.00074263,             0.00074263,             0.00074263
                     44,                0.76731,                0.96092,                  1.112,                0.67192,                  0.875,                 0.8075,                 0.6253,                0.85936,                 2.0997,                 1.3647,             0.00073025,             0.00073025,             0.00073025
                     45,                0.71087,                0.95026,                 1.0666,                0.67192,                  0.875,                 0.8075,                 0.6253,                0.85936,                 2.0997,                 1.3647,             0.00071788,             0.00071788,             0.00071788
                     46,                0.72431,                0.99383,                 1.0717,                0.71911,                0.98543,                0.81217,                0.66803,                0.82421,                  2.055,                 1.3049,              0.0007055,              0.0007055,              0.0007055
                     47,                 0.7339,                0.99835,                 1.0995,                0.71578,                      1,                0.81217,                0.68953,                0.78029,                 1.9121,                 1.3013,             0.00069313,             0.00069313,             0.00069313
                     48,                0.72985,                0.90916,                 1.0634,                0.71888,                      1,                0.81217,                0.65974,                0.80184,                 1.7812,                 1.3291,             0.00068075,             0.00068075,             0.00068075
